sn,compound,atomic_ra,atomic_rb,atomic_rc,covl_ra,covl_rb,covl_rc,van_ra,van_rb,van_rc,ionic_ra,ionic_rb,ionic_rc,atomic_mass_a,atomic_mass_b,atomic_mass_c,eNeg_a,eNeg_b,eNeg_c,eAffin_a,eAffin_b,eAffin_c,firstIoniz_a,firstIoniz_b,firstIoniz_c,oxidation_a,oxidation_b,oxidation_c,a,b,c,alpha,beta,gamma,BandGap,formationE,fmm,magneticO,spaceG,density,Materialid
84,CaTi2FeO6,1.80,1.4,1.4,1.74,1.36,1.25,2.4,2.15,2.05,0.99,0.94,0.74,40.078,47.867,55.845,1,1.54,1.83,2.37,8.4,14.6,589.8,658.8,762.5,2,4,2,7.574,7.574,7.626,90,90,90,1.412,-3.181,4.002,FM,137,4.37,mp-1200872
85,Ca3TiNiO6,1.80,1.4,1.35,1.74,1.36,1.21,2.4,2.15,0,0.99,0.94,0.69,87.62,47.867,58.6934,1,1.54,1.91,2.37,8.4,111.6,589.8,658.8,737.1,2,3,3,6.467,6.467,6.467,92.582,92.582,92.582,3.217,-2.598,2.003,FM,167,3.98,mp-997184
86,SrCaTi2O6,2.00,1.8,1.4,1.92,1.74,1.36,2.55,2.4,2.15,0.99,1.12,0.94,40.078,40.078,47.867,0.95,1,1.54,5.02,2.37,8.4,549.5,589.8,658.8,2,2,4,5.545,5.545,7.786,90,90,90.724,2.026,-3.546,0,NM,63,4.43,mp-1218364
87,CaYTi2O6,1.80,1.8,1.4,1.74,1.62,1.36,2.4,2.05,2.15,0.99,0.9,0.94,40.078,88.90585,47.867,1,1.22,1.54,2.37,30,8.4,589.8,600,658.8,2,3,3,5.373,5.587,7.717,90,90,90,0,-3.619,0.987,FM,31,4.6,mp-1227099
88,Ca2TiRuO6,1.80,1.4,1.3,1.74,1.36,1.26,2.4,2.15,2.05,0.99,0.94,0.67,40.078,47.867,101.07,1,1.54,1.9,2.37,8.4,101,589.8,658.8,710.2,2,4,4,5.533,5.43,9.443,55.023,90,90,0,-2.899,1.98,FM,14,4.64,mp-1227718
89,Ca2TaTiO6,1.80,1.45,1.4,1.74,1.38,1.36,2.4,2.2,2.15,0.99,0.68,0.94,40.078,180.94788,47.867,1,1.5,1.54,2.37,31,8.4,589.8,761,658.8,2,5,3,7.823,5.477,5.635,89.952,90,90,0,-3.457,0.026,NM,11,5.57,mvc-4129
90,Ca2TiWO6,1.80,1.4,1.35,1.74,1.36,1.46,2.4,2.15,2.1,0.99,0.94,0.7,40.078,47.867,183.84,1,1.54,2.36,2.37,8.4,79,589.8,658.8,770,2,4,4,5.602,5.602,5.749,59.9,59.9,59.417,0,-2.951,1.992,FM,8,5.34,mvc-5778
91,Ca2TiIrO6,1.80,1.4,1.35,1.74,1.36,1.37,2.4,2.15,0,0.99,0.94,0.68,40.078,47.867,192.217,1,1.54,2.2,2.37,8.4,150.9,589.8,658.8,880,2,4,4,5.578,5.402,9.431,54.934,90,90,0,-2.82,0.071,NM,14,5.94,mvc-5618
92,Ca2VMoO6,1.80,1.35,1.45,1.74,1.25,1.45,2.4,2.05,2.1,0.99,0.74,0.7,40.078,50.9415,95.94,1,1.63,2.16,2.37,51,72.3,589.8,650.9,684.3,2,4,4,5.444,5.602,7.794,90.001,89.843,90,0.688,-2.766,0,AFM,14,4.51,mp-1227834
93,CaYTi2O6,1.80,1.8,1.4,1.74,1.62,1.36,2.4,2.4,2.15,0.99,0.9,0.94,40.078,88.90585,47.867,1,1.22,1.54,2.37,30,8.4,589.8,600,658.8,2,3,4,5.373,5.587,7.717,90,90,90,0,-3.619,0.987,FM,31,4.6,mp-1227099
94,CaYMn2O6,1.80,1.8,1.4,1.74,1.62,1.39,2.4,2.4,2.05,0.99,0.9,0.8,40.078,88.90585,54.938045,1,1.22,1.55,2.37,30,0,589.8,600,717.3,2,3,7,5.238,5.425,7.934,90,90.429,90,0.69,-2.769,0,AFM,7,4.933,mp-1318051
95,Ca2NbFeO6,1.80,1.45,1.4,1.74,1.37,1.25,2.4,2.15,2.05,0.99,0.69,0.74,40.078,92.90638,55.845,1,1.6,1.83,2.37,86,14.6,589.8,652.1,762.5,2,5,3,5.474,9.653,9.653,71.553,90.155,90.154,2.099,-3,0,AFM,14,4.46,mp-1214121
96,CaFeMoO6,1.80,1.4,1.45,1.74,1.25,1.45,2.4,2.05,2.1,0.99,0.74,0.7,40.078,55.845,95.94,1,1.83,2.16,2.37,14.6,72.3,589.8,762.5,684.3,2,3,5,5.608,5.389,9.367,55.05,90,90,0.877,-1.89,0,FM,7,4.12,mvc-11007
97,Ca3FeRhO6,1.80,1.4,1.35,1.74,1.25,1.35,2.4,2.05,0,0.99,0.74,0.68,40.078,55.845,102.9055,1,1.83,2.28,2.37,14.6,110.3,589.8,762.5,719.7,2,3,5,6.464,9.035,9.246,90,90,91.893,0.94,-2.516,0,AFM,167,4.62,mp-18843
98,Ca2FeRhO6,1.80,1.4,1.35,1.74,1.25,1.35,2.4,2.05,0,0.99,0.74,0.68,40.078,55.845,102.9055,1,1.83,2.28,2.37,14.6,110.3,589.8,762.5,719.7,2,3,5,6.491,6.491,6.361,87.31,87.31,91.569,0,-1.923,0.614,FIM,5,4.16,mvc-14247
99,Ca2TaFeO6,1.80,1.45,1.4,1.74,1.38,1.25,2.4,2.2,2.05,0.99,0.68,0.74,40.078,180.94788,55.845,1,1.5,1.83,2.37,31,14.6,589.8,761,762.5,2,5,3,7.812,5.48,5.655,89.659,90,90,1.226,-2.904,1,FM,11,5.66,mvc-4371
