sn,compound,atomic_ra,atomic_rb,atomic_rc,covl_ra,covl_rb,covl_rc,van_ra,van_rb,van_rc,ionic_ra,ionic_rb,ionic_rc,atomic_mass_a,atomic_mass_b,atomic_mass_c,eNeg_a,eNeg_b,eNeg_c,eAffin_a,eAffin_b,eAffin_c,firstIoniz_a,firstIoniz_b,firstIoniz_c,oxidation_a,oxidation_b,oxidation_c,a,b,c,alpha,beta,gamma,BandGap,formationE,fmm,magneticO,spaceG,density,Materialid
25,Ba2ScNbO6,2.15,1.6,1.45,1.98,1.44,1.37,2.55,2.3,2.15,1.34,0.723,0.64,137.327,44.955912,92.90638,0.89,1.36,1.6,13.95,18,86,502.9,633.1,652.1,2,3,5,5.893,5.893,5.893,60,60,60,2.572,-3.486,0,NM,225,5.83,1206644
26,Ba2ZrTiO6,2.15,1.55,1.4,1.98,1.48,1.36,2.55,2.3,2.15,1.34,0.79,0.605,137.327,91.224,47.867,0.89,1.33,1.54,13.95,41,8.4,502.9,640.1,658.8,2,4,4,5.864,5.864,5.864,60,60,60,2.216,-3.57,0,NM,225,5.94,1078457
27,Ba2NbVO6,2.15,1.45,1.35,1.98,1.37,1.25,2.55,2.15,2.05,1.34,0.69,0.64,137.327,92.90638,50.9415,0.89,1.6,1.63,13.95,86,51,502.9,652.1,650.9,2,5,3,8.25,10.035,8.245,114.23,89.84,65.852,0,-3.127,0,AFM,225,6.15,1078969
28,Ba2VMoO6,2.15,1.35,1.45,1.98,1.25,1.45,2.55,2.05,2.1,1.34,0.74,0.65,137.327,50.9415,95.94,0.89,1.63,2.16,13.95,51,72.3,502.9,650.9,684.3,2,3,5,5.762,8.141,5.762,90,90,90,0.406,-2.716,0,AFM,225,6.36,1079477
29,Ba2NbCrO6,2.15,1.45,1.4,1.98,1.37,1.27,2.55,2.15,2.05,1.34,0.69,0.615,137.327,92.90638,51.9961,0.89,1.6,1.66,13.95,86,65.2,502.9,652.1,652.9,2,5,3,5.833,5.833,19.191,90,90,120,1.583,-3.067,3.004,FM,194,6.06,31627
30,Ba2CrMoO6,2.15,1.4,1.45,1.98,1.27,1.45,2.55,2.05,2.1,1.34,0.63,0.59,137.327,51.9961,95.94,0.89,1.66,2.16,13.95,65.2,72.3,502.9,652.9,684.3,2,3,5,5.81,8.006,5.81,90.004,89.999,90,0,-2.704,0,AFM,225,6.37,1079901
31,BaYMn2O6,2.15,1.8,1.4,1.98,1.62,1.39,2.55,2.4,2.05,1.34,0.9,0.46,137.327,88.90585,54.938045,0.89,1.22,1.55,13.95,30,0,502.9,600,717.3,2,3,7,5.567,5.567,7.856,89.628,89.628,89.966,0,-2.69,0.987,FM,12,5.9,555455
32,Ba2MnNbO6,2.15,1.4,1.45,1.98,1.39,1.37,2.55,2.05,2.15,1.34,0.8,0.68,137.327,54.938045,92.90638,0.89,1.55,1.6,13.95,0,86,502.9,717.3,652.1,2,3,5,5.798,5.797,19.3,82.612,91.565,61.225,1.483,-2.973,0,AFM,15,6.14,1275240
33,Ba2MnMoO6,2.15,1.4,1.45,1.98,1.39,1.45,2.55,2.05,2.1,1.34,0.8,0.65,137.327,54.938045,95.94,0.89,1.55,2.16,13.95,0,72.3,502.9,717.3,684.3,2,3,5,5.881,5.881,10.187,106.779,73.221,120,1.37,-2.673,0,AFM,225,6.02,20399
34,Ba2MnRuO6,2.15,1.4,1.3,1.98,1.39,1.26,2.55,2.05,2.05,1.34,0.8,0.62,137.327,54.938045,101.07,0.89,1.55,2.2,13.95,0,101,502.9,717.3,710.2,2,4,4,5.851,5.851,14.394,88.618,88.618,59.971,0,-2.328,6.983,FM,12,6.15,1228678
35,Ba2NbFeO6,2.15,1.45,1.4,1.98,1.37,1.25,2.55,2.15,2.05,1.34,0.69,0.645,137.327,92.90638,55.845,0.89,1.6,1.83,13.95,86,14.6,502.9,652.1,762.5,2,5,3,5.809,5.809,10.062,106.775,73.224,119.997,1.748,-2.953,0,AFM,225,6.22,1021504
36,Ba2FeMoO6,2.15,1.4,1.45,1.98,1.25,1.45,2.55,2.05,2.1,1.34,0.74,0.59,137.327,55.845,95.94,0.89,1.83,2.16,13.95,14.6,72.3,502.9,762.5,684.3,2,3,5,5.801,5.801,10.034,90.04,106.739,120.039,0.904,-2.591,1,FIM,15,6.3,1289745
37,Ba2NbCoO6,2.15,1.45,1.35,1.98,1.37,1.26,2.55,2.15,0,1.34,0.69,0.61,137.327,92.90638,58.933195,0.89,1.6,1.88,13.95,86,64,502.9,652.1,760.4,2,5,3,5.696,5.696,5.696,60,60,60,1.535,-2.746,0,NM,225,6.64,1228382
38,Ba2CoMoO6,2.15,1.35,1.45,1.98,1.26,1.45,2.55,0,2.1,1.34,0.72,0.59,137.327,58.933195,95.94,0.89,1.88,2.16,13.95,64,72.3,502.9,760.4,684.3,2,3,5,5.802,5.805,10.058,73.233,90.021,119.963,0,-2.531,0.005,AFM,225,6.31,18967
39,Ba2CoRuO6,2.15,1.35,1.3,1.98,1.26,1.26,2.55,0,2.05,1.34,0.72,0.62,137.327,58.933195,101.07,0.89,1.88,2.2,13.95,64,101,502.9,760.4,710.2,2,2,6,5.815,5.815,14.142,90,90,120,0,-2.135,5.212,FM,156,6.38,1228653
40,Ba2NiMoO6,2.15,1.35,1.45,1.98,1.21,1.45,2.55,0,2.1,1.34,0.69,0.59,137.327,58.6934,95.94,0.89,1.91,2.16,13.95,111.6,72.3,502.9,737.1,684.3,2,3,5,5.787,5.787,10.024,90,73.221,60,2.377,-2.454,0,AFM,225,6.36,552567
41,Ba2NiRuO6,2.15,1.35,1.3,1.98,1.21,1.26,2.55,0,2.5,1.34,0.69,0.565,137.327,58.6934,101.07,0.89,1.91,2.2,13.95,111.6,101,502.9,737.1,710.2,2,2,6,5.783,5.783,19.298,90,90,120,0.017,-2.04,3.998,FM,194,6.3,1147774
42,Ba2ZnMoO6,2.15,1.35,1.45,1.98,1.31,1.45,2.55,2.1,2.1,1.34,0.74,0.59,137.327,65.409,95.94,0.89,1.65,2.16,13.95,0,72.3,502.9,906.4,684.3,2,2,6,5.287,5.287,5.287,60,60,60,2.411,-2.582,0,NM,225,6.31,1206097
43,Ba2YTaO6,2.15,1.8,1.45,1.98,1.62,1.38,2.55,2.05,2.2,1.34,0.9,0.64,137.327,88.90585,180.94788,0.89,1.22,1.5,13.95,30,31,502.9,600,761,2,3,5,6.041,6.041,6.041,120.175,120.175,89.697,3.466,-3.582,0,NM,87,6.84,12385
44,Ba2YReO6,2.15,1.8,1.35,1.98,1.62,1.59,2.55,2.05,2.05,1.34,0.9,0.58,137.327,88.90585,186.207,0.89,1.22,1.9,13.95,30,0,502.9,600,760,2,3,5,5.995,5.995,5.995,60,60,60,0,-3.033,0.077,NM,225,7.04,6430
45,Ba2YOsO6,2.15,1.8,1.3,1.98,1.62,1.28,2.55,2.05,0,1.34,0.9,0.575,137.327,88.90585,190.23,0.89,1.22,2.2,13.95,30,104,502.9,600,840,2,3,5,5.987,5.987,5.987,60,60,60,0.073,-2.876,2.998,FM,225,7.11,1078303
46,Ba2YIrO6,2.15,1.8,1.35,1.98,1.62,1.37,2.55,2.05,0,1.34,0.9,0.57,137.327,88.90585,192.217,0.89,1.22,2.2,13.95,30,150.9,502.9,600,880,2,3,5,5.976,5.976,5.976,60,60,60,0,-2.775,1.998,FM,225,7.17,15888
47,Ba2ZrWO6,2.15,1.55,1.35,1.98,1.48,1.46,2.55,2.3,2.1,1.34,0.72,0.66,137.327,91.224,183.84,0.89,1.33,2.36,13.95,41,79,502.9,640.1,770,2,4,5,5.947,5.947,5.947,60,60,60,0,-3.053,2,FM,225,7.21,1228086
48,Ba2LaNbO6,2.15,1.95,1.45,1.98,1.69,1.37,2.55,2.5,2.15,1.34,1.016,0.64,137.327,138.90547,92.90638,0.89,1.1,1.6,13.95,45,86,502.9,538.1,652.1,2,3,5,6.138,6.138,6.221,60.264,60.264,60.14,3.049,-3.397,0,NM,12,6.01,553281
49,Ba2LaRuO6,2.15,1.95,1.3,1.98,1.69,1.26,2.55,2.5,2.05,1.34,1.016,0.565,137.327,138.90547,101.07,0.89,1.1,2.2,13.95,45,101,502.9,538.1,710.2,2,3,5,6.081,6.081,6.081,60.649,60.649,60.649,0.261,-2.79,3.011,FM,148,6.28,12911
50,Ba4AgAuO6,2.15,1.6,1.35,1.98,1.53,1.44,2.55,2.1,2.1,1.34,1.26,1.85,137.327,107.8682,196.966569,0.89,1.93,2.54,13.95,125.86,222.75,502.9,731,890.1,2,1,3,7.325,7.325,11.632,90,90,132.5,1.987,-2.205,0,NM,63,6.86,556896
51,Ba2CdReO6,2.15,1.55,1.35,1.98,1.48,1.59,2.55,2.2,2.05,1.34,0.97,0.55,137.327,112.411,186.207,0.89,1.69,1.9,13.95,0,0,502.9,867.8,760,2,2,5,5.98,5.98,5.98,60,60,60,0,-2.477,0.999,FM,225,7.35,551702
52,Ba2CdOsO6,2.15,1.55,1.3,1.98,1.48,1.28,2.55,2.2,0,1.34,0.97,0.545,137.327,112.411,190.23,0.89,1.69,2.2,13.95,0,104,502.9,867.8,840,2,2,6,5.972,5.972,5.972,60,60,60,0,-2.22,0.001,NM,225,7.42,1206134
53,Ba2ScTaO6,2.15,1.6,1.45,1.98,1.44,1.38,2.55,2.3,2.2,1.34,0.723,0.64,137.327,44.955912,180.94788,0.89,1.36,1.5,13.95,18,31,502.9,633.1,761,2,3,5,5.879,5.879,5.879,60,60,60,3.017,-3.603,0,NM,225,6.89,1205823
54,Ba2ScReO6,2.15,1.6,1.35,1.98,1.44,1.59,2.55,2.3,2.05,1.34,0.723,0.58,137.327,44.955912,186.207,0.89,1.36,1.9,13.95,18,0,502.9,633.1,760,2,3,5,5.834,5.834,5.834,60,60,60,0,-3.061,0.013,NM,225,7.12,1206861
55,Ba2ScOsO6,2.15,1.6,1.3,1.98,1.44,1.28,2.55,2.3,0,1.34,0.723,0.575,137.327,44.955912,190.23,0.89,1.36,2.2,13.95,18,104,502.9,633.1,840,2,3,5,5.836,5.836,5.836,60,60,60,0,-2.89,2.995,FM,225,7.16,1205674
56,Ba2ScIrO6,2.15,1.6,1.35,1.98,1.44,1.37,2.55,2.3,0,1.34,0.723,0.57,137.327,44.955912,192.217,0.89,1.36,2.2,13.95,18,150.9,502.9,633.1,880,2,3,5,5.823,5.823,5.823,60,60,60,0,-2.79,2.041,FM,225,7.23,10302
57,Ba2TaCrO6,2.15,1.45,1.4,1.98,1.38,1.27,2.55,2.2,2.05,1.34,0.68,0.615,137.327,180.94788,51.9961,0.89,1.5,1.66,13.95,31,65.2,502.9,761,652.9,2,5,3,5.819,5.819,19.146,90,90,120,2.156,-3.17,3,UKN,194,7.14,31630
58,Ba2TaMnO6,2.15,1.45,1.4,1.98,1.38,1.39,2.55,2.2,2.05,1.34,0.68,0.645,137.327,180.94788,54.938045,0.89,1.5,1.55,13.95,31,0,502.9,761,717.3,2,5,3,5.813,5.813,5.813,60,60,60,0,-3.06,4.01,FM,225,7.25,1228319
59,Ba2MnWO6,2.15,1.4,1.35,1.98,1.39,1.46,2.55,2.05,2.1,1.34,0.8,0.66,137.327,54.938045,183.84,0.89,1.55,2.36,13.95,0,79,502.9,717.3,770,2,3,5,5.901,10.221,5.901,106.779,60,106.779,2.311,-2.749,0,AFM,225,6.96,19085
